surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO	0.0	[]	own calc
None	gas	H2	0.0	[]	own calc
None	gas	H2O	0.0	[]	own calc
None	gas	C2H4	-2.76975805	[]	own calc
Au	100	CO	0.0329402417117699	[]	own calc
Au	100	OCCO	0.6567391761200868	[]	own calc
Au	100	OCHCO	0.5706968852926	[]	own calc
Au	100	OCCOH	1.2800674119066597	[]	own calc
Au	100	H	0.3649806119742387	[]	own calc
Au	100	CCO	0.5878657954718055	[]	own calc
Au	100	HCCO	0.11400883903575443	[]	own calc
Au	100	OCCHOH	1.2608669886623067	[]	own calc
Au	100	CHO	0.5345208094212884	[]	own calc
Au	100	COH	1.7254363621088746	[]	own calc
Cu	100	CO	-0.2597019871100573	[]	own calc
Cu	100	OCCO	0.37892448878212626	[]	own calc
Cu	100	OCHCO	0.4568786297398382	[]	own calc
Cu	100	OCCOH	0.6736295201717679	[]	own calc
Cu	100	H	0.20593715373802357	[]	own calc
Cu	100	CCO	-0.6657481602169877	[]	own calc
Cu	100	HCCO	-0.3417344000107996	[]	own calc
Cu	100	OC-CO	0.3496592953252942	[]	own calc
Cu	100	OCCHOH	0.2938296487778279	[]	own calc
Cu	100	CHO	0.5345042116406904	[]	own calc
Cu	100	COH	0.9262754153839705	[]	own calc
Ir	100	CO	-1.6689405029283666	[]	own calc
Ir	100	OCCO	-1.497165137547592	[]	own calc
Ir	100	OCHCO	-1.079498562187505	[]	own calc
Ir	100	OCCOH	-1.3148164429674023	[]	own calc
Ir	100	H	-0.36393087475279406	[]	own calc
Ir	100	CCO	-1.2572489508936178	[]	own calc
Ir	100	HCCO	-0.7687023224662652	[]	own calc
Ir	100	OC-CO	-1.475952942391069	[]	own calc
Ir	100	OCCHOH	-0.6641489843545264	[]	own calc
Ir	100	CHO	-0.5239958087566261	[]	own calc
Ir	100	COH	-0.6524444973099088	[]	own calc
Rh	100	CO	-1.6371086366635352	[]	own calc
Rh	100	OCCO	-1.3758266259070904	[]	own calc
Rh	100	OCHCO	-1.0593153131020938	[]	own calc
Rh	100	OCCOH	-1.1561739634270287	[]	own calc
Rh	100	H	-0.2658314873716081	[]	own calc
Rh	100	CCO	-1.4473061868114887	[]	own calc
Rh	100	HCCO	-1.0486220668356372	[]	own calc
Rh	100	OC-CO	-1.4016947951085965	[]	own calc
Rh	100	OCCHOH	-0.7809304976445396	[]	own calc
Rh	100	CHO	-0.5089567855601533	[]	own calc
Rh	100	COH	-0.7188418551074616	[]	own calc
Pt	100	CO	-1.6831229495032676	[]	own calc
Pt	100	OCCO	-1.5985834875031626	[]	own calc
Pt	100	OCHCO	-0.6657133167692597	[]	own calc
Pt	100	OCCOH	-1.258587628759559	[]	own calc
Pt	100	H	-0.3752734265921128	[]	own calc
Pt	100	CCO	-0.7536133107755894	[]	own calc
Pt	100	HCCO	-0.561769441248624	[]	own calc
Pt	100	OC-CO	-1.6147415623411894	[]	own calc
Pt	100	OCCHOH	-0.6229801824971385	[]	own calc
Pt	100	CHO	-0.5409677165823115	[]	own calc
Pt	100	COH	-0.27416832363678534	[]	own calc
Ni	100	CO	-1.457857359571463	[]	own calc
Ni	100	OCCO	-0.9537556159290197	[]	own calc
Ni	100	OCHCO	-0.9117681429317148	[]	own calc
Ni	100	OCCOH	-0.8058025033520432	[]	own calc
Ni	100	H	-0.17417680460974022	[]	own calc
Ni	100	CCO	-1.5085411866467884	[]	own calc
Ni	100	HCCO	-0.2540707878042816	[]	own calc
Ni	100	OCCHOH	-0.5913250797724353	[]	own calc
Ni	100	CHO	-0.20557278121918815	[]	own calc
Ni	100	COH	-0.6387090421290764	[]	own calc
Ag	100	CO	0.24227330558687524	[]	own calc
Ag	100	OCCO	1.2648081092905517	[]	own calc
Ag	100	OCHCO	0.9576915995179065	[]	own calc
Ag	100	OCCOH	1.8025347632063564	[]	own calc
Ag	100	H	0.5832682417585645	[]	own calc
Ag	100	CCO	0.35636980692863685	[]	own calc
Ag	100	HCCO	0.033680738352808715	[]	own calc
Ag	100	OC-CO	1.2301652843674213	[]	own calc
Ag	100	CHO	0.9456764219191733	[]	own calc
Ag	100	COH	2.221908523663279	[]	own calc
Pd	100	CO	-1.453646909412765	[]	own calc
Pd	100	OCCO	-1.223416439333626	[]	own calc
Pd	100	OCHCO	-0.6387158797323758	[]	own calc
Pd	100	OCCOH	-0.8361689676051186	[]	own calc
Pd	100	H	-0.26143775511072354	[]	own calc
Pd	100	CCO	-0.9422064811218398	[]	own calc
Pd	100	HCCO	-0.7156365832396376	[]	own calc
Pd	100	OC-CO	-1.2566531323032246	[]	own calc
Pd	100	OCCHOH	-0.23553779528884056	[]	own calc
Pd	100	CHO	-0.42189712482644387	[]	own calc
Pd	100	COH	-0.3489204779034698	[]	own calc
