surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO	0.0	[2152.5]	own calc
None	gas	H2	0.0	[4426.5]	own calc
None	gas	H2O	0.0	[1616.2,3741.5,3855.6]	own calc
None	gas	C2H4	-2.76975805	[826.36096307,  959.45228605,  960.34934469, 1053.97242644, 1229.69837936, 1348.85228724, 1472.24547713, 1668.96347041, 3105.59055667, 3125.65012816, 3173.82607546, 3196.77938303]	own calc
Au	100	CCO	-0.21874589499999786	[]	own calc
Au	100	CO	-0.31851336500000116	[15.5,18.8,251.3,252.3,303.1,1952.8]	own calc
Au	100	OCCO	-0.08187097604293983	[86.7,109.3,115.1,218.0,227.2,243.9,317.6,321.0,552.7,645.6,1407.3,1451.8]	own calc
Au	100	OCHCO	-0.41803025500000146	[7.0,29.4,42.4,69.5,188.4,224.5,249.0,410.5,638.0,806.2,914.2,1312.3,1620.8,1714.8,2906.4]	own calc
Au	100	OCCOH	-0.018769439999999804	[93.4,108.5,145.2,218.6,256.0,271.9,322.0,373.5,493.2,658.2,811.6,1021.0,1252.2,1543.1,3691.1]	own calc
Cu	100	CCO	-1.6742064850000027	[]	own calc
Cu	100	CO	-0.6735477499999973	[15.5,18.8,251.3,252.3,303.1,1952.8]	own calc
Cu	100	OCCO	-0.504736928478883	[86.7,109.3,115.1,218.0,227.2,243.9,317.6,321.0,552.7,645.6,1407.3,1451.8]	own calc
Cu	100	OCHCO	-0.5931682450000011	[7.0,29.4,42.4,69.5,188.4,224.5,249.0,410.5,638.0,806.2,914.2,1312.3,1620.8,1714.8,2906.4]	own calc
Cu	100	OCCOH	-0.6438139099999987	[93.4,108.5,145.2,218.6,256.0,271.9,322.0,373.5,493.2,658.2,811.6,1021.0,1252.2,1543.1,3691.1]	own calc
Ir	100	CCO	-2.509930754999999	[]	own calc
Ir	100	CO	-1.9929888650000294	[15.5,18.8,251.3,252.3,303.1,1952.8]	own calc
Ir	100	OCCO	-1.874738224389675	[86.7,109.3,115.1,218.0,227.2,243.9,317.6,321.0,552.7,645.6,1407.3,1451.8]	own calc
Ir	100	OCHCO	-2.0025035500000286	[7.0,29.4,42.4,69.5,188.4,224.5,249.0,410.5,638.0,806.2,914.2,1312.3,1620.8,1714.8,2906.4]	own calc
Ir	100	OCCOH	-2.5523956900000258	[93.4,108.5,145.2,218.6,256.0,271.9,322.0,373.5,493.2,658.2,811.6,1021.0,1252.2,1543.1,3691.1]	own calc
Rh	100	CCO	-2.4888309000000106	[]	own calc
Rh	100	CO	-1.8741334150000029	[15.5,18.8,251.3,252.3,303.1,1952.8]	own calc
Rh	100	OCCO	-1.8541261169760561	[86.7,109.3,115.1,218.0,227.2,243.9,317.6,321.0,552.7,645.6,1407.3,1451.8]	own calc
Rh	100	OCHCO	-2.0217830700000263	[7.0,29.4,42.4,69.5,188.4,224.5,249.0,410.5,638.0,806.2,914.2,1312.3,1620.8,1714.8,2906.4]	own calc
Rh	100	OCCOH	-2.3818734650000124	[93.4,108.5,145.2,218.6,256.0,271.9,322.0,373.5,493.2,658.2,811.6,1021.0,1252.2,1543.1,3691.1]	own calc
Pt	100	CCO	-2.059766219999986	[]	own calc
Pt	100	CO	-1.8847988099999924	[15.5,18.8,251.3,252.3,303.1,1952.8]	own calc
Pt	100	OCCO	-1.855500299115796	[86.7,109.3,115.1,218.0,227.2,243.9,317.6,321.0,552.7,645.6,1407.3,1451.8]	own calc
Pt	100	OCHCO	-1.6541550199999904	[7.0,29.4,42.4,69.5,188.4,224.5,249.0,410.5,638.0,806.2,914.2,1312.3,1620.8,1714.8,2906.4]	own calc
Pt	100	OCCOH	-2.592492534999991	[93.4,108.5,145.2,218.6,256.0,271.9,322.0,373.5,493.2,658.2,811.6,1021.0,1252.2,1543.1,3691.1]	own calc
Ni	100	CCO	-2.5070474499999875	[]	own calc
Ni	100	CO	-1.6435148899999916	[15.5,18.8,251.3,252.3,303.1,1952.8]	own calc
Ni	100	OCCO	-1.6069051850000198	[86.7,109.3,115.1,218.0,227.2,243.9,317.6,321.0,552.7,645.6,1407.3,1451.8]	own calc
Ni	100	OCHCO	-1.9220351899999883	[7.0,29.4,42.4,69.5,188.4,224.5,249.0,410.5,638.0,806.2,914.2,1312.3,1620.8,1714.8,2906.4]	own calc
Ni	100	OCCOH	-2.0325953699999957	[93.4,108.5,145.2,218.6,256.0,271.9,322.0,373.5,493.2,658.2,811.6,1021.0,1252.2,1543.1,3691.1]	own calc
Ag	100	CCO	-0.13448526499999902	[]	own calc
Ag	100	CO	-0.06887733999999845	[15.5,18.8,251.3,252.3,303.1,1952.8]	own calc
Ag	100	OCCO	0.24994918300266408	[86.7,109.3,115.1,218.0,227.2,243.9,317.6,321.0,552.7,645.6,1407.3,1451.8]	own calc
Ag	100	OCHCO	-0.28574373999999914	[7.0,29.4,42.4,69.5,188.4,224.5,249.0,410.5,638.0,806.2,914.2,1312.3,1620.8,1714.8,2906.4]	own calc
Ag	100	OCCOH	0.40610206000000115	[93.4,108.5,145.2,218.6,256.0,271.9,322.0,373.5,493.2,658.2,811.6,1021.0,1252.2,1543.1,3691.1]	own calc
Pd	100	CCO	-1.9269257900000127	[]	own calc
Pd	100	CO	-1.7127241250000012	[15.5,18.8,251.3,252.3,303.1,1952.8]	own calc
Pd	100	OCCO	-1.7618643558202742	[86.7,109.3,115.1,218.0,227.2,243.9,317.6,321.0,552.7,645.6,1407.3,1451.8]	own calc
Pd	100	OCHCO	-1.6351229500000102	[7.0,29.4,42.4,69.5,188.4,224.5,249.0,410.5,638.0,806.2,914.2,1312.3,1620.8,1714.8,2906.4]	own calc
Pd	100	OCCOH	-2.1195225950000065	[93.4,108.5,145.2,218.6,256.0,271.9,322.0,373.5,493.2,658.2,811.6,1021.0,1252.2,1543.1,3691.1]	own calc
